Image,Dropped,X,HoleX,HoleY,Distance
images/output/top-left.jpg,0,1,325.625,281.4375,24.183300669056738
images/output/upper-left.jpg,1,0,304.7994079589844,218.60464477539062,80.40431930524676
images/output/lower-left.jpg,0,1,288.5,286.69232177734375,22.49867482794702
images/output/bottom-left.jpg,0,1,322.0,297.5,15.074813431681335
images/output/top-right.jpg,0,0,336.45196533203125,270.7314453125,40.128028783958776
images/output/upper-right.jpg,2,0,428.5,341.0,118.88755191356242
images/output/lower-right.jpg,1,0,401.53509521484375,257.65789794921875,95.16735511635659
images/output/bottom-right.jpg,0,1,334.3461608886719,284.9615478515625,25.728726654549057
images/output/bottom-mid.jpg,0,0,310.9530029296875,258.0213623046875,41.28826621198122
